Order_No,Time from Pickup to Arrival
Order_No_15145,1566
Order_No_25380,1566
Order_No_7545,1566
Order_No_14573,1601
Order_No_24305,1556
Order_No_23769,1556
Order_No_23205,1566
Order_No_20815,1521
Order_No_8308,1556
Order_No_20121,1566
Order_No_20598,1566
Order_No_2574,1566
Order_No_1601,1566
Order_No_19084,1556
Order_No_23351,1521
Order_No_17426,1566
Order_No_3798,1556
Order_No_20354,1566
Order_No_24096,1566
Order_No_21215,1601
Order_No_16573,1566
Order_No_6731,1556
Order_No_3166,1601
Order_No_18679,1566
Order_No_23900,1566
Order_No_18436,1521
Order_No_1450,1566
Order_No_9797,1521
Order_No_21124,1521
Order_No_27808,1566
Order_No_15877,1521
Order_No_14360,1566
Order_No_6247,1566
Order_No_1823,1566
Order_No_8264,1566
Order_No_4106,1566
Order_No_2288,1521
Order_No_26162,1566
Order_No_16072,1521
Order_No_24205,1521
Order_No_3870,1521
Order_No_7297,1566
Order_No_26757,1566
Order_No_27741,1566
Order_No_15767,1566
Order_No_11781,1566
Order_No_8813,1566
Order_No_19702,1566
Order_No_6457,1521
Order_No_6180,1566
Order_No_9305,1566
Order_No_16992,1566
Order_No_5873,1521
Order_No_14553,1521
Order_No_4007,1566
Order_No_13713,1566
Order_No_20690,1521
Order_No_27131,1521
Order_No_17404,1521
Order_No_1121,1521
Order_No_10915,1521
Order_No_7190,1566
Order_No_26054,1566
Order_No_19459,1521
Order_No_11439,1566
Order_No_24422,1566
Order_No_10627,1566
Order_No_9507,1566
Order_No_9063,1566
Order_No_15612,1521
Order_No_20974,1566
Order_No_7106,1566
Order_No_21900,1556
Order_No_20501,1521
Order_No_10649,1521
Order_No_14031,1566
Order_No_26207,1566
Order_No_24879,1556
Order_No_26211,1521
Order_No_15163,1566
Order_No_8174,1566
Order_No_10670,1521
Order_No_1480,1521
Order_No_7556,1521
Order_No_21894,1566
Order_No_16903,1521
Order_No_20181,1566
Order_No_7301,1566
Order_No_4814,1521
Order_No_25817,1566
Order_No_5155,1566
Order_No_5658,1521
Order_No_7421,1566
Order_No_18730,1566
Order_No_20915,1566
Order_No_11317,1521
Order_No_1571,1566
Order_No_13963,1521
Order_No_25600,1566
Order_No_653,1566
Order_No_21929,1566
Order_No_10722,1521
Order_No_23724,1521
Order_No_16625,1566
Order_No_10125,1566
Order_No_20308,1521
Order_No_4518,1566
Order_No_3406,1566
Order_No_605,1521
Order_No_27507,1521
Order_No_9352,1521
Order_No_12374,1521
Order_No_21981,1521
Order_No_23293,1566
Order_No_10595,1566
Order_No_14569,1566
Order_No_22459,1521
Order_No_18244,1566
Order_No_22006,1566
Order_No_16555,1521
Order_No_15352,1566
Order_No_6045,1566
Order_No_5785,1566
Order_No_25261,1566
Order_No_16004,1566
Order_No_4666,1521
Order_No_6848,1566
Order_No_16999,1566
Order_No_4454,1566
Order_No_19867,1521
Order_No_8525,1566
Order_No_14830,1521
Order_No_5166,1566
Order_No_8600,1521
Order_No_1424,1566
Order_No_28124,1566
Order_No_202,1566
Order_No_21239,1566
Order_No_28220,1556
Order_No_20883,1566
Order_No_25796,1566
Order_No_17399,1566
Order_No_6474,1566
Order_No_25744,1566
Order_No_28183,1566
Order_No_14439,1566
Order_No_9133,1566
Order_No_113,1566
Order_No_7040,1521
Order_No_18205,1566
Order_No_26927,1566
Order_No_13238,1521
Order_No_22130,1566
Order_No_21276,1521
Order_No_1805,1521
Order_No_22296,1566
Order_No_3341,1566
Order_No_25656,1521
Order_No_14258,1566
Order_No_16747,1566
Order_No_17893,1566
Order_No_8127,1566
Order_No_22518,1566
Order_No_23458,1566
Order_No_6376,1566
Order_No_13274,1601
Order_No_15872,1601
Order_No_26843,1601
Order_No_11606,1601
Order_No_17119,1566
Order_No_2920,1566
Order_No_26188,1566
Order_No_6170,1521
Order_No_3297,1566
Order_No_14832,1601
Order_No_3262,1566
Order_No_26825,1566
Order_No_16348,1601
Order_No_19181,1566
Order_No_9628,1566
Order_No_12321,1521
Order_No_5373,1566
Order_No_11408,1521
Order_No_17595,1521
Order_No_6673,1521
Order_No_24820,1556
Order_No_27980,1521
Order_No_22,1521
Order_No_12144,1566
Order_No_27423,1566
Order_No_27750,1521
Order_No_9598,1521
Order_No_24154,1566
Order_No_8101,1566
Order_No_19215,1556
Order_No_13735,1521
Order_No_21382,1556
Order_No_14598,1601
Order_No_18882,1521
Order_No_22210,1566
Order_No_17315,1521
Order_No_15936,1521
Order_No_20424,1521
Order_No_8544,1566
Order_No_1945,1521
Order_No_15723,1566
Order_No_14246,1556
Order_No_17804,1521
Order_No_6307,1521
Order_No_21140,1601
Order_No_27783,1521
Order_No_16698,1556
Order_No_4055,1556
Order_No_24360,1566
Order_No_23304,1521
Order_No_18831,1566
Order_No_8221,1566
Order_No_17708,1601
Order_No_8804,1601
Order_No_1287,1556
Order_No_8582,1521
Order_No_22982,1566
Order_No_5673,1521
Order_No_265,1556
Order_No_10919,1521
Order_No_25941,1556
Order_No_10818,1566
Order_No_7955,1566
Order_No_21808,1601
Order_No_15316,1601
Order_No_4569,1521
Order_No_26467,1521
Order_No_18042,1566
Order_No_1690,1566
Order_No_23240,1601
Order_No_6518,1601
Order_No_15554,1566
Order_No_10496,1601
Order_No_14374,1556
Order_No_26952,1601
Order_No_4877,1566
Order_No_13214,1566
Order_No_23220,1566
Order_No_8668,1556
Order_No_17800,1521
Order_No_19852,1566
Order_No_27728,1566
Order_No_4520,1566
Order_No_22070,1556
Order_No_8558,1556
Order_No_14907,1556
Order_No_18319,1521
Order_No_16097,1601
Order_No_2417,1601
Order_No_11575,1556
Order_No_15,1566
Order_No_4679,1556
Order_No_26060,1521
Order_No_15503,1521
Order_No_7661,1521
Order_No_1830,1556
Order_No_21557,1521
Order_No_13473,1566
Order_No_13008,1566
Order_No_18509,1521
Order_No_3829,1521
Order_No_6065,1521
Order_No_14799,1556
Order_No_1776,1566
Order_No_12463,1566
Order_No_6604,1556
Order_No_1799,1521
Order_No_10157,1601
Order_No_9766,1601
Order_No_5814,1601
Order_No_14030,1601
Order_No_13176,1521
Order_No_4656,1521
Order_No_5529,1566
Order_No_7690,1566
Order_No_19956,1566
Order_No_22252,1566
Order_No_10533,1521
Order_No_8881,1566
Order_No_10182,1566
Order_No_13944,1566
Order_No_6048,1566
Order_No_12388,1521
Order_No_25071,1566
Order_No_13153,1566
Order_No_25366,1566
Order_No_7696,1566
Order_No_2007,1521
Order_No_19309,1521
Order_No_19227,1566
Order_No_21284,1566
Order_No_23202,1566
Order_No_8939,1521
Order_No_19778,1566
Order_No_23557,1601
Order_No_4701,1601
Order_No_7447,1566
Order_No_27215,1601
Order_No_26093,1601
Order_No_20488,1521
Order_No_9560,1566
Order_No_26678,1566
Order_No_20208,1566
Order_No_21879,1566
Order_No_9237,1521
Order_No_13651,1566
Order_No_5812,1521
Order_No_10902,1601
Order_No_6327,1521
Order_No_1435,1521
Order_No_21248,1566
Order_No_24214,1566
Order_No_22384,1566
Order_No_17635,1521
Order_No_8977,1566
Order_No_8944,1601
Order_No_21206,1521
Order_No_24952,1566
Order_No_24037,1566
Order_No_5344,1566
Order_No_5735,1566
Order_No_9938,1521
Order_No_9572,1521
Order_No_17057,1566
Order_No_2630,1521
Order_No_328,1566
Order_No_26349,1566
Order_No_119,1566
Order_No_25779,1566
Order_No_16033,1566
Order_No_16640,1566
Order_No_2440,1521
Order_No_1930,1521
Order_No_26105,1521
Order_No_20741,1521
Order_No_20896,1566
Order_No_11100,1566
Order_No_28180,1601
Order_No_16083,1566
Order_No_8184,1566
Order_No_14011,1566
Order_No_22660,1601
Order_No_2501,1566
Order_No_23934,1521
Order_No_13179,1601
Order_No_25191,1566
Order_No_16381,1521
Order_No_15052,1566
Order_No_10144,1566
Order_No_4309,1566
Order_No_3631,1521
Order_No_3102,1566
Order_No_14330,1601
Order_No_8375,1566
Order_No_3804,1566
Order_No_13817,1566
Order_No_73,1566
Order_No_13329,1521
Order_No_27514,1566
Order_No_15161,1556
Order_No_10310,1566
Order_No_10814,1566
Order_No_21397,1566
Order_No_1033,1521
Order_No_14857,1566
Order_No_5784,1566
Order_No_7041,1566
Order_No_976,1566
Order_No_1323,1566
Order_No_24269,1601
Order_No_8145,1566
Order_No_18898,1566
Order_No_2353,1566
Order_No_20438,1566
Order_No_21318,1566
Order_No_432,1601
Order_No_28265,1566
Order_No_17853,1566
Order_No_3888,1521
Order_No_19004,1566
Order_No_3751,1566
Order_No_24072,1521
Order_No_6192,1601
Order_No_23991,1566
Order_No_9669,1601
Order_No_9159,1601
Order_No_3469,1566
Order_No_8175,1566
Order_No_19400,1566
Order_No_19301,1521
Order_No_7079,1566
Order_No_6179,1566
Order_No_7898,1521
Order_No_8398,1566
Order_No_26262,1521
Order_No_11181,1566
Order_No_11359,1566
Order_No_27119,1601
Order_No_22979,1521
Order_No_20357,1566
Order_No_11599,1566
Order_No_27419,1566
Order_No_28027,1601
Order_No_9240,1601
Order_No_10621,1601
Order_No_9573,1521
Order_No_16641,1566
Order_No_17532,1521
Order_No_27475,1566
Order_No_17860,1601
Order_No_21510,1556
Order_No_20057,1601
Order_No_5742,1566
Order_No_12926,1521
Order_No_1100,1521
Order_No_16665,1566
Order_No_3239,1566
Order_No_6527,1521
Order_No_27436,1566
Order_No_25724,1601
Order_No_18565,1566
Order_No_13991,1566
Order_No_10370,1566
Order_No_20802,1601
Order_No_7216,1601
Order_No_20243,1566
Order_No_963,1601
Order_No_7077,1566
Order_No_15921,1521
Order_No_14182,1566
Order_No_2513,1601
Order_No_11162,1601
Order_No_10498,1556
Order_No_27109,1566
Order_No_27510,1566
Order_No_28242,1566
Order_No_5402,1566
Order_No_16501,1521
Order_No_25394,1566
Order_No_12173,1566
Order_No_3494,1521
Order_No_7796,1566
Order_No_14650,1521
Order_No_14378,1566
Order_No_9010,1566
Order_No_6513,1521
Order_No_5698,1566
Order_No_17470,1566
Order_No_17935,1566
Order_No_14047,1566
Order_No_6487,1521
Order_No_13205,1521
Order_No_12730,1566
Order_No_23447,1521
Order_No_21544,1521
Order_No_19834,1566
Order_No_13595,1566
Order_No_10952,1566
Order_No_16061,1566
Order_No_11082,1566
Order_No_9973,1566
Order_No_24129,1521
Order_No_17456,1566
Order_No_13130,1521
Order_No_17508,1521
Order_No_24719,1566
Order_No_1122,1566
Order_No_13598,1566
Order_No_15418,1566
Order_No_12370,1566
Order_No_9588,1521
Order_No_15534,1521
Order_No_11299,1521
Order_No_17032,1566
Order_No_2086,1566
Order_No_662,1556
Order_No_18016,1566
Order_No_20168,1566
Order_No_24567,1556
Order_No_6364,1521
Order_No_9163,1566
Order_No_21269,1521
Order_No_23463,1566
Order_No_12415,1521
Order_No_19530,1566
Order_No_15036,1601
Order_No_8329,1521
Order_No_17871,1566
Order_No_15812,1566
Order_No_1417,1566
Order_No_557,1566
Order_No_2749,1566
Order_No_11273,1566
Order_No_12502,1556
Order_No_16703,1521
Order_No_11533,1566
Order_No_17269,1566
Order_No_1906,1566
Order_No_24525,1601
Order_No_20167,1566
Order_No_10048,1566
Order_No_19620,1566
Order_No_28249,1566
Order_No_2180,1521
Order_No_11898,1521
Order_No_4533,1566
Order_No_3644,1521
Order_No_554,1521
Order_No_10375,1601
Order_No_20558,1521
Order_No_2982,1521
Order_No_22670,1566
Order_No_24772,1521
Order_No_20708,1566
Order_No_10470,1521
Order_No_13917,1521
Order_No_25392,1566
Order_No_10153,1566
Order_No_16467,1566
Order_No_5539,1521
Order_No_9069,1566
Order_No_4233,1601
Order_No_9977,1566
Order_No_8910,1566
Order_No_22925,1566
Order_No_3422,1566
Order_No_16377,1521
Order_No_4750,1566
Order_No_3565,1566
Order_No_10981,1566
Order_No_8065,1556
Order_No_27736,1566
Order_No_18818,1601
Order_No_24447,1601
Order_No_7565,1521
Order_No_11098,1556
Order_No_16378,1521
Order_No_22111,1521
Order_No_24813,1601
Order_No_18073,1521
Order_No_7393,1566
Order_No_3604,1566
Order_No_7722,1566
Order_No_6473,1521
Order_No_16328,1566
Order_No_6951,1566
Order_No_27115,1566
Order_No_4833,1521
Order_No_26220,1521
Order_No_19347,1566
Order_No_23754,1601
Order_No_26312,1521
Order_No_6258,1521
Order_No_8187,1521
Order_No_24254,1521
Order_No_23923,1566
Order_No_18348,1566
Order_No_6143,1566
Order_No_11761,1521
Order_No_25890,1566
Order_No_12525,1521
Order_No_17819,1566
Order_No_7530,1521
Order_No_3087,1521
Order_No_16681,1566
Order_No_22705,1521
Order_No_12330,1566
Order_No_9936,1566
Order_No_14792,1521
Order_No_27480,1566
Order_No_12371,1566
Order_No_23841,1566
Order_No_5723,1566
Order_No_7107,1521
Order_No_8354,1521
Order_No_16616,1566
Order_No_13299,1521
Order_No_9846,1566
Order_No_23302,1566
Order_No_21129,1566
Order_No_6218,1521
Order_No_19174,1556
Order_No_17504,1566
Order_No_13417,1566
Order_No_20985,1521
Order_No_8974,1521
Order_No_16102,1566
Order_No_18610,1521
Order_No_15240,1556
Order_No_8222,1566
Order_No_9716,1521
Order_No_2322,1566
Order_No_20909,1521
Order_No_21364,1521
Order_No_5142,1566
Order_No_24450,1566
Order_No_6650,1521
Order_No_5838,1601
Order_No_5507,1566
Order_No_14746,1521
Order_No_19695,1566
Order_No_16731,1566
Order_No_26896,1566
Order_No_19027,1566
Order_No_7476,1566
Order_No_7552,1601
Order_No_1197,1566
Order_No_24734,1566
Order_No_21567,1601
Order_No_20868,1601
Order_No_23886,1556
Order_No_20995,1601
Order_No_2832,1566
Order_No_18513,1601
Order_No_20644,1566
Order_No_15252,1556
Order_No_22288,1601
Order_No_28091,1601
Order_No_15758,1601
Order_No_6985,1566
Order_No_19182,1601
Order_No_16029,1566
Order_No_7628,1556
Order_No_12870,1601
Order_No_5874,1566
Order_No_3122,1566
Order_No_14202,1566
Order_No_18634,1521
Order_No_17859,1566
Order_No_12989,1556
Order_No_11519,1566
Order_No_27804,1601
Order_No_14750,1566
Order_No_27640,1521
Order_No_9577,1601
Order_No_25067,1601
Order_No_5630,1601
Order_No_1662,1521
Order_No_20854,1566
Order_No_10597,1521
Order_No_14406,1566
Order_No_3515,1566
Order_No_479,1566
Order_No_13506,1521
Order_No_8094,1601
Order_No_11527,1566
Order_No_1560,1566
Order_No_27797,1556
Order_No_28257,1601
Order_No_28126,1556
Order_No_8053,1521
Order_No_2916,1601
Order_No_4016,1566
Order_No_1978,1566
Order_No_7551,1601
Order_No_18878,1566
Order_No_17852,1556
Order_No_12724,1566
Order_No_5052,1601
Order_No_9638,1566
Order_No_18608,1566
Order_No_10943,1566
Order_No_19284,1556
Order_No_19089,1566
Order_No_18792,1601
Order_No_27785,1556
Order_No_6310,1566
Order_No_3396,1601
Order_No_13210,1601
Order_No_27338,1566
Order_No_9449,1601
Order_No_9953,1601
Order_No_21319,1601
Order_No_6131,1566
Order_No_16248,1566
Order_No_25511,1601
Order_No_17581,1521
Order_No_15622,1521
Order_No_17371,1601
Order_No_3498,1521
Order_No_21353,1521
Order_No_15321,1566
Order_No_2430,1566
Order_No_12487,1566
Order_No_10610,1566
Order_No_13632,1521
Order_No_14310,1521
Order_No_20219,1521
Order_No_24255,1566
Order_No_5688,1566
Order_No_2098,1566
Order_No_1638,1566
Order_No_5930,1601
Order_No_23690,1556
Order_No_39,1566
Order_No_4504,1601
Order_No_21781,1566
Order_No_18092,1566
Order_No_22970,1566
Order_No_10140,1601
Order_No_25566,1601
Order_No_10010,1566
Order_No_13320,1566
Order_No_25781,1566
Order_No_11047,1566
Order_No_19150,1566
Order_No_13956,1566
Order_No_2795,1521
Order_No_9239,1566
Order_No_25948,1566
Order_No_24195,1521
Order_No_21625,1566
Order_No_27048,1521
Order_No_17009,1566
Order_No_25336,1566
Order_No_5171,1521
Order_No_15698,1521
Order_No_22233,1521
Order_No_26486,1521
Order_No_2207,1521
Order_No_25857,1566
Order_No_11783,1601
Order_No_24512,1566
Order_No_8030,1601
Order_No_12442,1521
Order_No_16773,1521
Order_No_7245,1521
Order_No_22380,1601
Order_No_24611,1601
Order_No_11281,1566
Order_No_20685,1566
Order_No_25650,1566
Order_No_7279,1601
Order_No_21590,1566
Order_No_15175,1566
Order_No_2549,1566
Order_No_21355,1566
Order_No_13240,1556
Order_No_12289,1601
Order_No_13640,1566
Order_No_7348,1521
Order_No_10368,1566
Order_No_6499,1556
Order_No_16129,1556
Order_No_4700,1521
Order_No_11499,1601
Order_No_14316,1566
Order_No_19729,1601
Order_No_2709,1566
Order_No_2587,1566
Order_No_14584,1566
Order_No_5775,1601
Order_No_5957,1601
Order_No_13108,1566
Order_No_8952,1521
Order_No_25039,1566
Order_No_28178,1566
Order_No_9911,1566
Order_No_14887,1566
Order_No_25164,1601
Order_No_643,1556
Order_No_25036,1601
Order_No_23513,1601
Order_No_9998,1566
Order_No_20542,1601
Order_No_17096,1566
Order_No_6667,1566
Order_No_3386,1566
Order_No_7801,1601
Order_No_13317,1601
Order_No_27525,1601
Order_No_28039,1566
Order_No_27356,1566
Order_No_19531,1601
Order_No_17221,1601
Order_No_14666,1601
Order_No_2529,1566
Order_No_8108,1601
Order_No_22718,1566
Order_No_23815,1566
Order_No_355,1566
Order_No_5502,1601
Order_No_2279,1601
Order_No_14760,1566
Order_No_16284,1601
Order_No_24054,1566
Order_No_6308,1566
Order_No_18471,1566
Order_No_16885,1521
Order_No_6235,1601
Order_No_21139,1601
Order_No_8441,1566
Order_No_20358,1521
Order_No_22958,1566
Order_No_9958,1521
Order_No_186,1556
Order_No_18335,1566
Order_No_8294,1566
Order_No_14984,1566
Order_No_12808,1521
Order_No_16613,1521
Order_No_5967,1566
Order_No_13061,1566
Order_No_510,1521
Order_No_11737,1566
Order_No_9065,1566
Order_No_14733,1566
Order_No_23792,1521
Order_No_19970,1566
Order_No_5732,1556
Order_No_16861,1566
Order_No_548,1556
Order_No_3614,1566
Order_No_14685,1566
Order_No_14852,1566
Order_No_5906,1556
Order_No_8086,1566
Order_No_20426,1601
Order_No_15713,1566
Order_No_5421,1601
Order_No_21090,1521
Order_No_10249,1601
Order_No_23243,1566
Order_No_3973,1601
Order_No_18105,1566
Order_No_18247,1566
Order_No_5518,1566
Order_No_14326,1566
Order_No_11696,1521
Order_No_25233,1566
Order_No_21758,1566
Order_No_13807,1566
Order_No_9504,1566
Order_No_19952,1601
Order_No_5945,1566
Order_No_21884,1566
Order_No_23875,1566
Order_No_17475,1566
Order_No_11831,1601
Order_No_14853,1601
Order_No_8626,1556
Order_No_11618,1601
Order_No_6579,1566
Order_No_4411,1521
Order_No_13952,1556
Order_No_20612,1521
Order_No_14554,1566
Order_No_23765,1521
Order_No_15377,1601
Order_No_484,1566
Order_No_20145,1556
Order_No_15587,1566
Order_No_1391,1521
Order_No_21529,1601
Order_No_12180,1556
Order_No_26836,1556
Order_No_20602,1566
Order_No_28137,1521
Order_No_7831,1521
Order_No_10415,1521
Order_No_18209,1601
Order_No_1785,1566
Order_No_26356,1566
Order_No_22626,1566
Order_No_20408,1556
Order_No_1291,1566
Order_No_3872,1566
Order_No_7811,1521
Order_No_1688,1521
Order_No_10749,1521
Order_No_8606,1521
Order_No_21045,1566
Order_No_24642,1566
Order_No_19658,1521
Order_No_11143,1521
Order_No_20174,1521
Order_No_11271,1521
Order_No_21619,1601
Order_No_12882,1566
Order_No_13707,1521
Order_No_27870,1566
Order_No_27175,1566
Order_No_23193,1566
Order_No_26792,1566
Order_No_8477,1566
Order_No_5644,1566
Order_No_17568,1566
Order_No_24791,1566
Order_No_8516,1566
Order_No_14352,1566
Order_No_21115,1566
Order_No_14295,1566
Order_No_4241,1601
Order_No_6537,1521
Order_No_5745,1566
Order_No_7814,1566
Order_No_17036,1566
Order_No_7550,1556
Order_No_8541,1566
Order_No_17107,1566
Order_No_15533,1521
Order_No_24471,1566
Order_No_22059,1566
Order_No_13682,1521
Order_No_16304,1521
Order_No_15971,1521
Order_No_13816,1601
Order_No_1299,1566
Order_No_16591,1566
Order_No_14301,1566
Order_No_11796,1521
Order_No_1496,1566
Order_No_15046,1521
Order_No_14012,1521
Order_No_24632,1566
Order_No_15371,1521
Order_No_26341,1566
Order_No_22604,1601
Order_No_6864,1521
Order_No_4975,1566
Order_No_24591,1566
Order_No_25549,1601
Order_No_18512,1556
Order_No_26563,1556
Order_No_25165,1521
Order_No_15832,1566
Order_No_24376,1521
Order_No_20678,1601
Order_No_10522,1566
Order_No_22205,1566
Order_No_10745,1566
Order_No_19717,1566
Order_No_23942,1566
Order_No_5473,1566
Order_No_26248,1556
Order_No_5324,1601
Order_No_26892,1556
Order_No_6840,1566
Order_No_26156,1601
Order_No_9183,1556
Order_No_20185,1521
Order_No_8896,1601
Order_No_5444,1521
Order_No_9975,1601
Order_No_19711,1601
Order_No_5148,1521
Order_No_22964,1521
Order_No_26674,1556
Order_No_20033,1556
Order_No_17258,1556
Order_No_23885,1566
Order_No_9908,1521
Order_No_10017,1521
Order_No_3652,1521
Order_No_6052,1566
Order_No_19139,1601
Order_No_4240,1601
Order_No_14479,1601
Order_No_26236,1601
Order_No_18468,1566
Order_No_10170,1566
Order_No_27719,1566
Order_No_21645,1601
Order_No_21459,1556
Order_No_22807,1601
Order_No_10608,1601
Order_No_26682,1601
Order_No_9246,1566
Order_No_26933,1566
Order_No_20284,1601
Order_No_16582,1521
Order_No_18020,1601
Order_No_11578,1601
Order_No_2623,1566
Order_No_19145,1601
Order_No_19497,1521
Order_No_17066,1566
Order_No_7934,1556
Order_No_27076,1566
Order_No_18743,1566
Order_No_27790,1601
Order_No_25259,1601
Order_No_3411,1521
Order_No_14195,1601
Order_No_4723,1601
Order_No_15357,1521
Order_No_8096,1601
Order_No_3358,1566
Order_No_24929,1521
Order_No_3328,1566
Order_No_8953,1556
Order_No_21906,1601
Order_No_12892,1521
Order_No_27330,1601
Order_No_13690,1601
Order_No_7152,1601
Order_No_10494,1601
Order_No_18970,1566
Order_No_7099,1556
Order_No_16952,1601
Order_No_11812,1601
Order_No_8455,1566
Order_No_15409,1556
Order_No_15834,1566
Order_No_19785,1556
Order_No_16639,1566
Order_No_17577,1601
Order_No_3532,1521
Order_No_10653,1566
Order_No_20217,1566
Order_No_17673,1601
Order_No_12274,1566
Order_No_19901,1566
Order_No_9030,1566
Order_No_25892,1601
Order_No_19383,1521
Order_No_3682,1601
Order_No_18661,1566
Order_No_21675,1521
Order_No_6163,1601
Order_No_23160,1601
Order_No_20045,1521
Order_No_676,1601
Order_No_21541,1556
Order_No_25783,1521
Order_No_19780,1566
Order_No_23340,1521
Order_No_19305,1601
Order_No_7311,1566
Order_No_801,1566
Order_No_12769,1521
Order_No_9896,1566
Order_No_23391,1521
Order_No_25574,1566
Order_No_19657,1601
Order_No_11883,1566
Order_No_27534,1521
Order_No_20797,1566
Order_No_1606,1521
Order_No_23082,1566
Order_No_6198,1601
Order_No_13152,1556
Order_No_13090,1601
Order_No_287,1566
Order_No_3821,1566
Order_No_11601,1556
Order_No_4654,1556
Order_No_15157,1566
Order_No_1399,1601
Order_No_20313,1601
Order_No_26573,1566
Order_No_26734,1556
Order_No_23536,1566
Order_No_18602,1601
Order_No_540,1521
Order_No_18916,1566
Order_No_18810,1566
Order_No_9462,1566
Order_No_23237,1566
Order_No_9095,1566
Order_No_867,1521
Order_No_13162,1566
Order_No_12632,1521
Order_No_20015,1566
Order_No_15775,1566
Order_No_5074,1521
Order_No_1536,1521
Order_No_19943,1566
Order_No_6287,1566
Order_No_17352,1566
Order_No_5750,1566
Order_No_24437,1566
Order_No_24827,1566
Order_No_18938,1566
Order_No_24280,1566
Order_No_7115,1566
Order_No_4908,1521
Order_No_27777,1601
Order_No_19158,1566
Order_No_7585,1566
Order_No_19450,1566
Order_No_9747,1566
Order_No_5799,1566
Order_No_28260,1566
Order_No_12246,1566
Order_No_25826,1566
Order_No_4691,1566
Order_No_13884,1566
Order_No_10325,1566
Order_No_8100,1566
Order_No_17465,1566
Order_No_2367,1566
Order_No_21080,1521
Order_No_6990,1521
Order_No_2240,1566
Order_No_5905,1601
Order_No_18566,1521
Order_No_14488,1566
Order_No_14987,1566
Order_No_21799,1521
Order_No_27786,1566
Order_No_806,1521
Order_No_308,1521
Order_No_6112,1566
Order_No_9994,1521
Order_No_15076,1521
Order_No_4192,1521
Order_No_8405,1566
Order_No_1820,1521
Order_No_1078,1556
Order_No_7786,1556
Order_No_23124,1521
Order_No_10293,1566
Order_No_3277,1521
Order_No_22505,1601
Order_No_13889,1556
Order_No_9880,1556
Order_No_14734,1521
Order_No_9620,1566
Order_No_24340,1566
Order_No_13879,1566
Order_No_13809,1566
Order_No_28064,1556
Order_No_19686,1566
Order_No_16049,1601
Order_No_15069,1601
Order_No_28224,1556
Order_No_18668,1521
Order_No_27246,1601
Order_No_16100,1521
Order_No_9345,1566
Order_No_1612,1566
Order_No_13180,1556
Order_No_6184,1521
Order_No_24302,1521
Order_No_22523,1521
Order_No_25840,1521
Order_No_6408,1521
Order_No_8191,1556
Order_No_26783,1521
Order_No_5718,1566
Order_No_23973,1556
Order_No_469,1566
Order_No_9793,1566
Order_No_4600,1566
Order_No_21556,1566
Order_No_14209,1521
Order_No_7589,1566
Order_No_16570,1566
Order_No_1938,1566
Order_No_24724,1566
Order_No_8499,1566
Order_No_22857,1521
Order_No_24545,1521
Order_No_20627,1521
Order_No_5374,1566
Order_No_16583,1521
Order_No_3013,1521
Order_No_15897,1566
Order_No_6242,1566
Order_No_10795,1566
Order_No_11326,1566
Order_No_8849,1566
Order_No_4578,1521
Order_No_1794,1521
Order_No_16566,1566
